                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9361,                  3.363,                 1.8509,                0.64543,                0.52017,                0.54517,                0.27504,                 1.3644,                 5.5418,                 1.6356,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.5991,                 1.8992,                 1.5292,                0.68394,                  0.647,                0.66999,                0.34715,                 1.5682,                 3.2071,                 1.8131,               0.000165,               0.000165,               0.000165
                      3,                 1.5413,                 1.5755,                 1.5309,                0.58876,                0.56661,                0.58754,                0.27551,                 1.6385,                 12.036,                 1.8948,             0.00025047,             0.00025047,             0.00025047
                      4,                 1.5097,                 1.3781,                 1.4914,                0.44626,                0.57872,                0.51271,                0.24988,                 1.7405,                 22.884,                 1.9951,             0.00033418,             0.00033418,             0.00033418
                      5,                  1.502,                 1.2962,                 1.5344,                0.45795,                0.67562,                 0.4801,                 0.2729,                 1.8094,                 29.341,                 2.7927,             0.00041613,             0.00041613,             0.00041613
                      6,                 1.4897,                 1.2484,                 1.4986,                0.42241,                0.44821,                0.31944,                0.15119,                 2.1184,                 27.425,                 2.8632,             0.00049632,             0.00049632,             0.00049632
                      7,                 1.4903,                 1.2108,                 1.5396,                0.51069,                0.58439,                0.41591,                0.20217,                  2.133,                 38.705,                  3.472,             0.00057475,             0.00057475,             0.00057475
                      8,                 1.5049,                 1.2459,                 1.5672,                0.23648,                0.65577,                0.26415,                0.11048,                 2.0842,                 433.88,                 5.5296,             0.00065142,             0.00065142,             0.00065142
                      9,                 1.5413,                 1.2583,                 1.6498,                0.36451,                0.58209,                0.36044,                0.12938,                 2.2134,                 110.04,                 4.3895,             0.00072634,             0.00072634,             0.00072634
                     10,                 1.5134,                 1.1386,                 1.5304,                 0.1671,                0.61792,                 0.1695,                0.09055,                 2.1006,                 173.22,                 3.9677,             0.00079949,             0.00079949,             0.00079949
                     11,                 1.5361,                 1.1541,                 1.5479,                0.22542,                0.61947,                0.22345,                0.09731,                 2.0445,                 77.713,                 3.5783,             0.00087088,             0.00087088,             0.00087088
                     12,                  1.464,                  1.197,                 1.5019,                0.22018,                0.53889,                0.20646,                0.08454,                 2.1048,                 23.135,                 3.3434,             0.00094051,             0.00094051,             0.00094051
                     13,                 1.5225,                 1.2059,                  1.539,                0.20557,                0.58654,                0.34252,                0.14167,                 2.3041,                 13.277,                 3.9369,             0.00097901,             0.00097901,             0.00097901
                     14,                  1.447,                 1.2877,                 1.5333,                0.30644,                0.32448,                0.23989,                0.12322,                 2.2102,                 22.419,                 3.5551,             0.00096801,             0.00096801,             0.00096801
                     15,                  1.424,                 1.0828,                 1.5192,                0.17293,                0.32781,                0.15085,                0.08298,                 2.2344,                 31.197,                 3.2831,             0.00095702,             0.00095702,             0.00095702
                     16,                   1.46,                 1.0329,                 1.4768,                 0.2253,                0.27523,                0.18111,                0.08514,                 2.1502,                 12.571,                 2.9708,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.4118,                0.96824,                 1.5055,                0.49334,                0.50879,                0.44633,                0.21593,                 1.9897,                 10.114,                 2.7721,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.4618,                 1.0118,                 1.5328,                0.41112,                0.71603,                0.59189,                0.32724,                 1.7813,                 8.3714,                 2.5371,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.3991,                0.94796,                 1.4407,                0.41608,                0.60024,                0.48394,                0.24947,                 1.9456,                 5.7574,                 2.7059,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.3643,                0.93493,                 1.4361,                0.51654,                0.64581,                0.58665,                0.28653,                 1.8356,                 8.1536,                 2.6303,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.3429,                0.91899,                 1.4482,                0.56639,                0.64344,                0.62715,                0.31483,                 1.8188,                 3.2056,                 2.3535,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.3375,                0.85729,                 1.4076,                0.58062,                0.55745,                 0.5513,                0.30128,                 1.7012,                 3.1086,                 2.2475,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.2908,                 0.8353,                 1.4141,                0.60233,                0.56694,                0.65073,                0.34744,                 1.8087,                 2.4256,                 2.2822,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.3538,                0.84907,                 1.4411,                0.72483,                0.54899,                 0.7138,                0.37578,                   1.85,                 2.0194,                 2.2899,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.2838,                0.84107,                 1.3846,                0.59412,                0.53647,                0.59332,                0.32321,                 1.8477,                 2.1984,                 2.2983,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.3118,                0.86285,                 1.4106,                0.73953,                0.53066,                0.68151,                0.33047,                 1.8956,                 2.5676,                 2.5098,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.3138,                0.83201,                 1.4119,                0.65821,                0.65159,                0.65085,                0.37221,                 1.7009,                 2.1096,                 2.1747,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.2909,                0.82063,                 1.3991,                0.65349,                0.63113,                 0.6597,                0.36175,                  1.753,                 2.0888,                 2.2934,             0.00081403,             0.00081403,             0.00081403
                     29,                  1.206,                0.75692,                 1.3336,                0.60919,                0.63669,                0.61447,                0.35647,                 1.7616,                 2.0233,                 2.2154,             0.00080303,             0.00080303,             0.00080303
                     30,                  1.233,                0.74107,                 1.3281,                0.77684,                0.59228,                0.67561,                0.38928,                 1.7472,                 1.7675,                 2.2111,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.1767,                0.71194,                  1.306,                0.74923,                0.61082,                0.68864,                0.37767,                 1.7222,                 1.8126,                 2.1821,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.1474,                0.71346,                 1.3249,                0.73036,                0.67205,                0.70293,                0.39846,                 1.6546,                 1.7005,                 2.1002,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.2159,                0.75126,                 1.3406,                0.76954,                0.66092,                0.70651,                0.38599,                 1.7238,                  1.846,                 2.2339,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.1814,                0.71688,                 1.3064,                0.62316,                0.64993,                0.67175,                0.38149,                 1.7148,                  2.037,                 2.2317,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.1545,                 0.7227,                 1.2962,                0.61251,                0.64664,                0.63991,                0.36557,                 1.7478,                  2.033,                 2.2906,             0.00073704,             0.00073704,             0.00073704
